,name,URL,danceability,loudness,speechiness,acousticness,liveness,energy,instrumentalness,valence,tempo,cluster
2,Scam 1992 Theme Music,https://open.spotify.com/track/3A04b0nJb2nAzGUw2rqDsI,0.516,-11.45,0.0249,0.00411,0.34,0.486,0.27699999999999997,0.45399999999999996,87.045,2
9,Cup of Coffee,https://open.spotify.com/track/4xKPZYZrpdFJIsN6wYtIk2,0.47100000000000003,-16.935,0.0492,0.113,0.1,0.29600000000000004,0.807,0.15,141.139,2
26,Thunder,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,0.605,-4.833,0.0438,0.00671,0.147,0.8220000000000001,0.134,0.28800000000000003,167.997,2
