,name,URL,danceability,loudness,speechiness,acousticness,liveness,energy,instrumentalness,valence,tempo,cluster
5,Can We Kiss Forever?,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,0.522,-18.717,0.0357,0.894,0.0941,0.128,0.026000000000000002,0.124,109.986,0
14,Marappadhilai Nenje - Additional Song,https://open.spotify.com/track/4Ndcwn2iAt1MdU6lpw24ZQ,0.527,-6.825,0.0282,0.557,0.14800000000000002,0.535,0.0,0.158,93.021,0
15,Seramal Ponal,https://open.spotify.com/track/0FTPiuMAGuvXVjeXh7g8ot,0.506,-6.494,0.0306,0.768,0.0889,0.532,5.3700000000000004e-05,0.456,140.175,0
16,Thaarame Thaarame,https://open.spotify.com/track/1hhLL2eWsnPtYCdDjbiRIU,0.594,-6.4910000000000005,0.0343,0.677,0.10800000000000001,0.53,0.0,0.32,139.878,0
18,Avalukena,https://open.spotify.com/track/6nP69wy9Y1PonStmqt33uk,0.5,-10.043,0.0348,0.758,0.0828,0.374,0.00043799999999999997,0.425,79.992,0
29,In Silence,https://open.spotify.com/track/2vZZljISFmbnd2SlMBdEAH,0.475,-9.532,0.028999999999999998,0.607,0.18600000000000003,0.384,0.0,0.235,135.638,0
