,name,URL,danceability,loudness,speechiness,acousticness,liveness,energy,instrumentalness,valence,tempo,cluster
1,Only One King,https://open.spotify.com/track/2qzl10bAolDzYE505AWfIV,0.6829999999999999,-4.666,0.131,0.0599,0.365,0.9329999999999999,2.63e-06,0.42200000000000004,143.972,6
3,Overwhelmed,https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y,0.804,-11.127,0.305,0.308,0.15,0.32299999999999995,0.0,0.456,87.01899999999999,6
20,Savage Love (Laxed - Siren Beat),https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,0.767,-8.52,0.0803,0.23399999999999999,0.26899999999999996,0.48100000000000004,0.0,0.7609999999999999,150.076,6
23,"Kasu Panam - From ""Soodhu Kavvum""",https://open.spotify.com/track/4hk0ojHySZ33JSGq37qddO,0.853,-7.85,0.258,0.10800000000000001,0.6659999999999999,0.6679999999999999,1.13e-06,0.648,140.015,6
