,name,URL,danceability,loudness,speechiness,acousticness,liveness,energy,instrumentalness,valence,tempo,cluster
6,Sunflower - Spider-Man: Into the Spider-Verse,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,0.76,-5.574,0.0466,0.556,0.0703,0.479,0.0,0.9129999999999999,89.911,1
7,Lush Life,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,0.6940000000000001,-3.923,0.046,0.133,0.21100000000000002,0.7120000000000001,0.0,0.799,98.022,1
11,Balam Pichkari,https://open.spotify.com/track/18e3XXYCv4Tx8uUl1mP3CN,0.732,-4.115,0.09,0.209,0.40299999999999997,0.9440000000000001,0.0,0.9570000000000001,120.01899999999999,1
12,Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.748,-5.599,0.0338,0.414,0.111,0.524,0.0,0.6609999999999999,95.01,1
22,Badtameez Dil,https://open.spotify.com/track/4eu27jAU2bbnyHUC3G75U8,0.805,-2.228,0.0684,0.24,0.21600000000000003,0.932,0.0,0.792,106.01899999999999,1
27,Vandha Kadha,https://open.spotify.com/track/2eilJpx0bKCA0AEVrWYJOV,0.727,-5.0360000000000005,0.12,0.207,0.0726,0.765,0.0,0.813,66.484,1
