,name,URL,danceability,loudness,speechiness,acousticness,liveness,energy,instrumentalness,valence,tempo,cluster
10,Pistah,https://open.spotify.com/track/4oWyW7U9YVox9jqTar9k0V,0.625,-8.062000000000001,0.165,0.0654,0.10400000000000001,0.7659999999999999,0.0022,0.6920000000000001,171.921,3
21,Nenjukulla Nee,https://open.spotify.com/track/1VBkQidkoJXhQPJsAvSkNP,0.503,-4.756,0.10800000000000001,0.313,0.0861,0.884,2.49e-06,0.75,119.861,3
24,"Pondattee - From ""Golisoda 2""",https://open.spotify.com/track/28zGTndSQj4JT9nCPHRoTV,0.6920000000000001,-7.942,0.0678,0.295,0.11599999999999999,0.624,1.4599999999999999e-05,0.759,169.99900000000002,3
28,"Chellamma (From ""Doctor"")",https://open.spotify.com/track/0fGclndst25Qqy8j4u5De5,0.498,-7.252000000000001,0.214,0.256,0.0589,0.679,0.000325,0.743,99.70200000000001,3
